74-W-183(n,elastic) ENDF/B-VII.1
549.453,106.57
549.75,188.095
549.892,214.823
550.019,223.117
550.132,216.28
550.27,192.172
550.645,94.5166
550.762,69.7335
550.862,53.1723
550.957,41.3145
551.045,33.0781
551.143,26.351
551.242,21.6313
551.354,17.9536
551.466,15.4536
551.627,13.0983
551.831,11.2149
552.059,9.85336
552.438,8.41279
552.97,7.20309
553.635,6.27003
554.625,5.39247
555.275,5.03339
555.665,4.9488
556.068,5.10877
556.328,5.53606
556.484,6.0782
556.614,6.86372
556.718,7.88284
556.809,9.24733
556.887,10.9547
556.965,13.3844
557.043,16.8265
557.115,21.2435
557.188,27.2785
557.262,35.2963
557.342,46.9021
557.422,61.7311
557.513,83.1331
557.622,114.888
557.959,231.451
558.096,264.644
558.218,276.544
558.231,276.672
558.334,269.986
