ENDF/B-VII.1 Angular Distribution of Neutrons: 7-N-14(n,elastic)
Incident Neutron Energy: 2.000000E+7 eV
  
Cosine Value    Normalized Probability
2.164E-1    7.310E-3
1.736E-1    8.001E-3
1.305E-1    8.583E-3
8.716E-2    9.064E-3
4.362E-2    9.503E-3
6.123E-17   1.002E-2
-4.362E-2   1.081E-2
-8.716E-2   1.215E-2
-1.305E-1   1.438E-2
-1.736E-1   1.789E-2
-2.164E-1   2.309E-2
-2.588E-1   3.030E-2
-3.007E-1   3.974E-2
-3.420E-1   5.137E-2
-3.827E-1   6.484E-2
-4.226E-1   7.946E-2
-4.617E-1   9.418E-2
-5.000E-1   1.077E-1
-5.373E-1   1.187E-1
-5.736E-1   1.264E-1
-6.088E-1   1.311E-1
-6.428E-1   1.348E-1
-6.756E-1   1.426E-1
-7.071E-1   1.635E-1
-7.373E-1   2.111E-1
-7.660E-1   3.046E-1
-7.934E-1   4.686E-1
-8.192E-1   7.324E-1
-8.434E-1   1.128E0
-8.660E-1   1.687E0
-8.870E-1   2.437E0
-9.063E-1   3.394E0
-9.239E-1   4.563E0
-9.397E-1   5.926E0
-9.537E-1   7.444E0
-9.659E-1   9.053E0
-9.763E-1   1.067E1
-9.848E-1   1.219E1
-9.914E-1   1.352E1
-9.962E-1   1.455E1
-9.990E-1   1.521E1
-1.000E0    1.543E1
ENDF/B-VII.1 Angular Distribution of Neutrons: 7-N-14(n,elastic)
Incident Neutron Energy: 5.000000E+7 eV
  
Cosine Value    Normalized Probability
1.000E0     8.880E-4
9.990E-1    8.794E-4
9.962E-1    8.548E-4
9.914E-1    8.173E-4
9.848E-1    7.715E-4
9.763E-1    7.231E-4
9.659E-1    6.783E-4
9.537E-1    6.426E-4
9.397E-1    6.205E-4
9.239E-1    6.146E-4
9.063E-1    6.258E-4
8.870E-1    6.524E-4
8.660E-1    6.913E-4
8.434E-1    7.376E-4
8.192E-1    7.860E-4
7.934E-1    8.310E-4
7.660E-1    8.687E-4
7.373E-1    8.969E-4
7.071E-1    9.165E-4
6.756E-1    9.320E-4
6.428E-1    9.517E-4
6.088E-1    9.878E-4
5.736E-1    1.056E-3
5.373E-1    1.174E-3
5.000E-1    1.360E-3
4.617E-1    1.632E-3
4.226E-1    2.004E-3
3.827E-1    2.484E-3
3.420E-1    3.071E-3
3.007E-1    3.752E-3
2.588E-1    4.505E-3
2.164E-1    5.295E-3
1.736E-1    6.080E-3
1.305E-1    6.818E-3
8.716E-2    7.478E-3
4.362E-2    8.051E-3
6.123E-17   8.571E-3
-4.362E-2   9.131E-3
-8.716E-2   9.897E-3
-1.305E-1   1.112E-2
-1.736E-1   1.314E-2
-2.164E-1   1.635E-2
-2.588E-1   2.117E-2
-3.007E-1   2.797E-2
-3.420E-1   3.698E-2
-3.827E-1   4.820E-2
-4.226E-1   6.127E-2
-4.617E-1   7.545E-2
-5.000E-1   8.960E-2
-5.373E-1   1.023E-1
-5.736E-1   1.123E-1
-6.088E-1   1.189E-1
-6.428E-1   1.229E-1
-6.756E-1   1.277E-1
-7.071E-1   1.403E-1
-7.373E-1   1.730E-1
-7.660E-1   2.445E-1
-7.934E-1   3.800E-1
-8.192E-1   6.116E-1
-8.434E-1   9.765E-1
-8.660E-1   1.514E0
-8.870E-1   2.260E0
-9.063E-1   3.244E0
-9.239E-1   4.476E0
-9.397E-1   5.948E0
-9.537E-1   7.620E0
-9.659E-1   9.424E0
-9.763E-1   1.126E1
-9.848E-1   1.302E1
-9.914E-1   1.457E1
-9.962E-1   1.578E1
-9.990E-1   1.655E1
-1.000E0    1.682E1
ENDF/B-VII.1 Angular Distribution of Neutrons: 7-N-14(n,elastic)
Incident Neutron Energy: 5.500000E+7 eV
  
Cosine Value    Normalized Probability
1.000E0     4.215E-4
9.990E-1    4.167E-4
9.962E-1    4.032E-4
9.914E-1    3.832E-4
9.848E-1    3.598E-4
9.763E-1    3.372E-4
9.659E-1    3.196E-4
9.537E-1    3.110E-4
9.397E-1    3.144E-4
9.239E-1    3.316E-4
